epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7716,0.81234,3.36408,1.00851,0.96865,0.03489,0.23632,0.20054,0.62927,3.42364,0.95196,0.0002625,0.0002625,0.0002625
2,70.6923,0.60524,1.50922,0.87082,1,0.11266,0.32186,0.27789,0.60941,3.1899,0.95486,0.000526857,0.000526857,0.000526857
3,106.572,0.57345,1.17311,0.86786,0.93941,0.17038,0.73367,0.64031,0.57285,2.77409,0.93107,0.000780325,0.000780325,0.000780325
4,143.633,0.55087,0.99422,0.85579,0.80894,0.59992,0.85248,0.74888,0.54893,1.9472,0.95309,0.0010229,0.0010229,0.0010229
5,180.447,0.55277,0.89971,0.86359,0.82543,0.79931,0.93204,0.82625,0.51445,1.49805,0.901,0.001151,0.001151,0.001151
6,216.979,0.5143,0.84536,0.84442,0.89645,0.93614,0.92831,0.82551,0.48123,0.88849,0.87924,0.00112625,0.00112625,0.00112625
7,249.412,0.46817,0.75999,0.84372,0.92315,0.96852,0.96532,0.87954,0.44982,0.68211,0.87994,0.0011015,0.0011015,0.0011015
8,280.615,0.48836,0.78092,0.84689,0.91715,0.9705,0.9559,0.86498,0.44414,0.6991,0.8772,0.00107675,0.00107675,0.00107675
9,314.396,0.46508,0.73787,0.83599,0.89276,0.94205,0.96118,0.8783,0.42369,0.68495,0.85708,0.001052,0.001052,0.001052
10,350.224,0.44907,0.72402,0.83103,0.93654,0.97308,0.94534,0.86891,0.40147,0.53236,0.8455,0.00102725,0.00102725,0.00102725
11,384.407,0.44938,0.66704,0.83599,0.87987,0.9724,0.93485,0.86288,0.43787,0.53054,0.87385,0.0010025,0.0010025,0.0010025
12,420.145,0.42633,0.63676,0.82551,0.93807,0.98077,0.95479,0.88215,0.39472,0.50919,0.86177,0.00097775,0.00097775,0.00097775
13,455.386,0.41945,0.61254,0.82865,0.94216,0.97985,0.96129,0.88963,0.38753,0.47151,0.84869,0.000953,0.000953,0.000953
14,491.235,0.41092,0.60347,0.81837,0.94112,0.96275,0.96212,0.89484,0.40677,0.48065,0.85953,0.00092825,0.00092825,0.00092825
15,528.497,0.42262,0.57533,0.8305,0.94653,0.9756,0.96692,0.91481,0.35616,0.44972,0.82425,0.0009035,0.0009035,0.0009035
16,563.375,0.39819,0.52206,0.82992,0.94147,0.98077,0.96158,0.89959,0.38144,0.48437,0.84864,0.00087875,0.00087875,0.00087875
17,600.667,0.40415,0.5549,0.82972,0.94484,0.98077,0.96417,0.91332,0.35632,0.43747,0.82872,0.000854,0.000854,0.000854
18,636.214,0.39947,0.54897,0.82089,0.94682,0.97354,0.95909,0.91407,0.33524,0.42288,0.82055,0.00082925,0.00082925,0.00082925
19,672.326,0.38484,0.49319,0.81893,0.94871,0.97239,0.96434,0.91447,0.33888,0.41083,0.82325,0.0008045,0.0008045,0.0008045
20,710.077,0.37743,0.51871,0.82088,0.94395,0.96953,0.96468,0.9023,0.33698,0.40526,0.81651,0.00077975,0.00077975,0.00077975
21,744.527,0.37364,0.49029,0.81851,0.94396,0.98077,0.96307,0.90908,0.35143,0.40406,0.83893,0.000755,0.000755,0.000755
22,781.569,0.37627,0.48723,0.81789,0.94519,0.9792,0.95889,0.90979,0.34893,0.40376,0.84131,0.00073025,0.00073025,0.00073025
23,816.88,0.36361,0.46581,0.82631,0.95148,0.98058,0.95659,0.91727,0.32061,0.38536,0.8179,0.0007055,0.0007055,0.0007055
24,853.65,0.35981,0.48042,0.81396,0.94953,0.97863,0.96221,0.93172,0.29473,0.37373,0.80363,0.00068075,0.00068075,0.00068075
25,888.894,0.35654,0.44714,0.81707,0.94681,0.98077,0.96423,0.93574,0.28669,0.37775,0.80326,0.000656,0.000656,0.000656
26,925.689,0.34826,0.44072,0.8144,0.94848,0.98003,0.96503,0.92086,0.32032,0.37974,0.82115,0.00063125,0.00063125,0.00063125
